,species,authors,citation,year_of_publication,year_of_data_collection,month,state,location,gps_coordinates,lat,lon,scale,urban,habitat,density_per_km2,highest_density_multiple_records,range_av_per_km2,av_rainfall,annual_rain_at_time_of_study,baited,dingoes_present,method,confidence_in_density_estimate,notes,notes2,time,years,ninoa,month_int,r_index,worldclim
0,fox,Coman et al. (1991),"Coman, B. J., Robinson, J. & Beaumont, C. (1991). HOME RANGE, DISPERSAL AND DENSITY OF RED FOXES (VULPES-VULPES L) IN CENTRAL VICTORIA. Wildlife Research, 18, 215-223.",1991,1985,Oct,VIC,Metcalfe,"-37.1026967, 144.4238411",-37.1026967,144.4238411,2400ha,No,Temperate agricultural (regional Victoria),1.04,,1.2-3.0 ,610,,no,,radio-tracking,High,pre-breeding,,1985,,,10,1985-10,487.065551757813
1,fox,Newsome et al,"Newsome, A. E., Catling, P. C., Cooke, B. D. & Smyth, R. (2001). Two ecological universes separated by the Dingo Barrier fence in semi-arid Australia: Interactions between landscapes, herbivory and carnivory, with and without dingoes. Rangeland Journal, 23, 71-98.",2001,1985,Aug,NSW,E of SA border with NSW,"30”50'S, 141”20'E",-30.833333,140.333333,large,No,Arid grazing,0.185,,0.185,,,yes,no,spotlighting,High,,,1985,,,8,1985-08,66.1588439941406
2,fox,Newsome et al,"Newsome, A. E., Catling, P. C., Cooke, B. D. & Smyth, R. (2001). Two ecological universes separated by the Dingo Barrier fence in semi-arid Australia: Interactions between landscapes, herbivory and carnivory, with and without dingoes. Rangeland Journal, 23, 71-98.",2001,1985,Aug,NSW,E of SA border with NSW,"30""50'S, 141""20'E",-30.833333,140.333333,large,No,Arid grazing,0.073,,0.073,,,yes,no,spotlighting,High,,,1985,,,8,1985-08,66.1588439941406
3,fox,Newsome et al,"Newsome, A. E., Catling, P. C., Cooke, B. D. & Smyth, R. (2001). Two ecological universes separated by the Dingo Barrier fence in semi-arid Australia: Interactions between landscapes, herbivory and carnivory, with and without dingoes. Rangeland Journal, 23, 71-98.",2001,1985,Aug,SA,W of SA border w NSW,"30""40'S, 140""50'E",-30.666667,140.833333,large,No,Arid grazing,0.009,,0.009,,,no,yes,spotlighting,High,,,1985,,,8,1985-08,83.8326568603516
4,fox,Newsome et al,"Newsome, A. E., Catling, P. C., Cooke, B. D. & Smyth, R. (2001). Two ecological universes separated by the Dingo Barrier fence in semi-arid Australia: Interactions between landscapes, herbivory and carnivory, with and without dingoes. Rangeland Journal, 23, 71-98.",2001,1985,Aug,SA,W of SA border w NSW,"30""40'S, 140""50'E",-30.666667,140.833333,large,No,Arid grazing,0.094,,0.094,,,no,yes,spotlighting,High,,,1985,,,8,1985-08,83.8326568603516
5,fox,"Coman, B.","Coman, B. J., Robinson, J. & Beaumont, C. (1991). HOME RANGE, DISPERSAL AND DENSITY OF RED FOXES (VULPES-VULPES L) IN CENTRAL VICTORIA. Wildlife Research, 18, 215-223.",1991,1985,Apr,VIC,Metcalfe,"-37.1026967, 144.4238411",-37.1026967,144.4238411,2400ha,No,Temperate agricultural (regional Victoria),3.9,, 4-6,610,,no,,radio-tracking,High,,,1985,,,4,1985-04,205.009658813477
6,fox,Coman et al. (1991),"Coman, B. J., Robinson, J. & Beaumont, C. (1991). HOME RANGE, DISPERSAL AND DENSITY OF RED FOXES (VULPES-VULPES L) IN CENTRAL VICTORIA. Wildlife Research, 18, 215-223.",1991,1986,Oct,VIC,Metcalfe,"-37.1026967, 144.4238411",-37.1026967,144.4238411,2400ha,No,Temperate agricultural (regional Victoria),1.36,,1.2-3.0 ,610,,no,,radio-tracking,High,pre-breeding,,1986,,,10,1986-10,579.905456542969
7,fox,Coman et al. (1991),"Coman, B. J., Robinson, J. & Beaumont, C. (1991). HOME RANGE, DISPERSAL AND DENSITY OF RED FOXES (VULPES-VULPES L) IN CENTRAL VICTORIA. Wildlife Research, 18, 215-223.",1991,1986,Dec,VIC,Metcalfe,"-37.1026967, 144.4238411",-37.1026967,144.4238411,2400ha,No,Temperate agricultural (regional Victoria),3,,1.2-3.0 ,610,,no,,radio-tracking,High,post-breeding,,1986,,,12,1986-12,496.617980957031
8,fox,Burrows,"Burrows, N. D., Algar, D., Robinson, A. D., Sinagra, J., Ward, B. & Liddelow, G. (2003). Controlling introduced predators in the Gibson Desert of Western Australia. Journal of Arid Environments, 55, 691-713.",2003,1989,Sep,WA,Gibson Desert Nature Reserve,"24.5S, 124.7E",-24.5,124.7,3200km2,No,Arid,0.03,3,0.03,220,,no,,Track indices only (number of tracks per 100km),Low,Unbaited site,,1989,,,9,1989-09,94.3332214355469
9,fox,Read,"Read, J. & Bowen, Z. (2001). Population dynamics, diet and aspects of the biology of feral cats and foxes in arid South Australia. Wildlife Research, 28, 195-203.",2001,1989,Apr,SA,"Roxby Downs, 15km north of town",not provided- ayesha sourced,-30.45,136.873169,200km2,No,Arid grazing,2.6,,0.6,160,,no,,spotlighting,High,,,1989,,,4,1989-04,158.197555541992
